aaag,ysag,cobi,aaa,ysa,Rate,UUI,LUI,Sex
11-19,3-5,<100,11,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,12,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,13,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,14,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,15,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,16,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,17,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,18,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,19,4,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,11,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,12,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,13,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,14,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,15,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,16,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,17,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,18,5,0.002957491,0.00514856,0.001576702,Both
11-19,3-5,<100,19,5,0.002957491,0.00514856,0.001576702,Both
11-19,6-10,100+,11,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,12,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,13,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,14,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,15,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,16,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,17,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,18,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,19,6,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,11,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,12,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,13,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,14,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,15,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,16,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,17,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,18,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,19,7,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,11,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,12,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,13,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,14,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,15,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,16,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,17,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,18,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,19,8,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,11,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,12,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,13,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,14,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,15,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,16,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,17,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,18,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,19,9,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,11,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,12,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,13,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,14,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,15,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,16,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,17,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,18,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,100+,19,10,0.002397305,0.003422404,0.001626472,Both
11-19,6-10,<100,11,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,12,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,13,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,14,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,15,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,16,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,17,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,18,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,19,6,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,11,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,12,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,13,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,14,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,15,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,16,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,17,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,18,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,19,7,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,11,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,12,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,13,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,14,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,15,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,16,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,17,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,18,8,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,19,8,0.002559121,0.004642917,0.001290421,Both
