aaag,ysag,aaa,ysa,rate,upper,lower
5-19,0,11,0,0.923076923,1,0.591432992
5-19,0,12,0,0.923076923,1,0.591432992
5-19,0,13,0,0.923076923,1,0.591432992
5-19,0,14,0,0.923076923,1,0.591432992
5-19,0,15,0,0.923076923,1,0.591432992
5-19,0,16,0,0.923076923,1,0.591432992
5-19,0,17,0,0.923076923,1,0.591432992
5-19,0,18,0,0.923076923,1,0.591432992
5-19,0,19,0,0.923076923,1,0.591432992
5-19,1,11,1,1,1,1
5-19,1,12,1,1,1,1
5-19,1,13,1,1,1,1
5-19,1,14,1,1,1,1
5-19,1,15,1,1,1,1
5-19,1,16,1,1,1,1
5-19,1,17,1,1,1,1
5-19,1,18,1,1,1,1
5-19,1,19,1,1,1,1
5-19,2-5,11,2,1,1,1
5-19,2-5,12,2,1,1,1
5-19,2-5,13,2,1,1,1
5-19,2-5,14,2,1,1,1
5-19,2-5,15,2,1,1,1
5-19,2-5,16,2,1,1,1
5-19,2-5,17,2,1,1,1
5-19,2-5,18,2,1,1,1
5-19,2-5,19,2,1,1,1
5-19,2-5,11,3,1,1,1
5-19,2-5,12,3,1,1,1
5-19,2-5,13,3,1,1,1
5-19,2-5,14,3,1,1,1
5-19,2-5,15,3,1,1,1
5-19,2-5,16,3,1,1,1
5-19,2-5,17,3,1,1,1
5-19,2-5,18,3,1,1,1
5-19,2-5,19,3,1,1,1
5-19,2-5,11,4,1,1,1
5-19,2-5,12,4,1,1,1
5-19,2-5,13,4,1,1,1
5-19,2-5,14,4,1,1,1
5-19,2-5,15,4,1,1,1
5-19,2-5,16,4,1,1,1
5-19,2-5,17,4,1,1,1
5-19,2-5,18,4,1,1,1
5-19,2-5,19,4,1,1,1
5-19,2-5,11,5,1,1,1
5-19,2-5,12,5,1,1,1
5-19,2-5,13,5,1,1,1
5-19,2-5,14,5,1,1,1
5-19,2-5,15,5,1,1,1
5-19,2-5,16,5,1,1,1
5-19,2-5,17,5,1,1,1
5-19,2-5,18,5,1,1,1
5-19,2-5,19,5,1,1,1
5-19,6-10,11,6,1,1,1
5-19,6-10,12,6,1,1,1
5-19,6-10,13,6,1,1,1
5-19,6-10,14,6,1,1,1
5-19,6-10,15,6,1,1,1
5-19,6-10,16,6,1,1,1
5-19,6-10,17,6,1,1,1
5-19,6-10,18,6,1,1,1
5-19,6-10,19,6,1,1,1
5-19,6-10,11,7,1,1,1
5-19,6-10,12,7,1,1,1
5-19,6-10,13,7,1,1,1
5-19,6-10,14,7,1,1,1
5-19,6-10,15,7,1,1,1
5-19,6-10,16,7,1,1,1
5-19,6-10,17,7,1,1,1
5-19,6-10,18,7,1,1,1
5-19,6-10,19,7,1,1,1
5-19,6-10,11,8,1,1,1
5-19,6-10,12,8,1,1,1
5-19,6-10,13,8,1,1,1
5-19,6-10,14,8,1,1,1
5-19,6-10,15,8,1,1,1
5-19,6-10,16,8,1,1,1
5-19,6-10,17,8,1,1,1
5-19,6-10,18,8,1,1,1
5-19,6-10,19,8,1,1,1
5-19,6-10,11,9,1,1,1
5-19,6-10,12,9,1,1,1
5-19,6-10,13,9,1,1,1
5-19,6-10,14,9,1,1,1
5-19,6-10,15,9,1,1,1
5-19,6-10,16,9,1,1,1
5-19,6-10,17,9,1,1,1
5-19,6-10,18,9,1,1,1
5-19,6-10,19,9,1,1,1
5-19,6-10,11,10,1,1,1
5-19,6-10,12,10,1,1,1
5-19,6-10,13,10,1,1,1
5-19,6-10,14,10,1,1,1
5-19,6-10,15,10,1,1,1
5-19,6-10,16,10,1,1,1
5-19,6-10,17,10,1,1,1
5-19,6-10,18,10,1,1,1
5-19,6-10,19,10,1,1,1
5-19,11+,11,11,1,1,1
5-19,11+,12,11,1,1,1
5-19,11+,13,11,1,1,1
5-19,11+,14,11,1,1,1
5-19,11+,15,11,1,1,1
5-19,11+,16,11,1,1,1
5-19,11+,17,11,1,1,1
5-19,11+,18,11,1,1,1
5-19,11+,19,11,1,1,1
5-19,11+,11,12,1,1,1
5-19,11+,12,12,1,1,1
5-19,11+,13,12,1,1,1
5-19,11+,14,12,1,1,1
5-19,11+,15,12,1,1,1
5-19,11+,16,12,1,1,1
5-19,11+,17,12,1,1,1
5-19,11+,18,12,1,1,1
5-19,11+,19,12,1,1,1
5-19,11+,11,13,1,1,1
5-19,11+,12,13,1,1,1
5-19,11+,13,13,1,1,1
5-19,11+,14,13,1,1,1
5-19,11+,15,13,1,1,1
5-19,11+,16,13,1,1,1
5-19,11+,17,13,1,1,1
5-19,11+,18,13,1,1,1
5-19,11+,19,13,1,1,1
5-19,11+,11,14,1,1,1
5-19,11+,12,14,1,1,1
5-19,11+,13,14,1,1,1
5-19,11+,14,14,1,1,1
5-19,11+,15,14,1,1,1
5-19,11+,16,14,1,1,1
5-19,11+,17,14,1,1,1
5-19,11+,18,14,1,1,1
5-19,11+,19,14,1,1,1
5-19,11+,11,15,1,1,1
5-19,11+,12,15,1,1,1
5-19,11+,13,15,1,1,1
5-19,11+,14,15,1,1,1
5-19,11+,15,15,1,1,1
5-19,11+,16,15,1,1,1
5-19,11+,17,15,1,1,1
5-19,11+,18,15,1,1,1
5-19,11+,19,15,1,1,1
5-19,11+,11,16,1,1,1
5-19,11+,12,16,1,1,1
5-19,11+,13,16,1,1,1
5-19,11+,14,16,1,1,1
5-19,11+,15,16,1,1,1
5-19,11+,16,16,1,1,1
5-19,11+,17,16,1,1,1
5-19,11+,18,16,1,1,1
5-19,11+,19,16,1,1,1
5-19,11+,11,17,1,1,1
5-19,11+,12,17,1,1,1
5-19,11+,13,17,1,1,1
5-19,11+,14,17,1,1,1
5-19,11+,15,17,1,1,1
5-19,11+,16,17,1,1,1
5-19,11+,17,17,1,1,1
5-19,11+,18,17,1,1,1
5-19,11+,19,17,1,1,1
5-19,11+,11,18,1,1,1
5-19,11+,12,18,1,1,1
5-19,11+,13,18,1,1,1
5-19,11+,14,18,1,1,1
5-19,11+,15,18,1,1,1
5-19,11+,16,18,1,1,1
5-19,11+,17,18,1,1,1
5-19,11+,18,18,1,1,1
5-19,11+,19,18,1,1,1
5-19,11+,11,19,1,1,1
5-19,11+,12,19,1,1,1
5-19,11+,13,19,1,1,1
5-19,11+,14,19,1,1,1
5-19,11+,15,19,1,1,1
5-19,11+,16,19,1,1,1
5-19,11+,17,19,1,1,1
5-19,11+,18,19,1,1,1
5-19,11+,19,19,1,1,1
5-19,11+,11,20,1,1,1
5-19,11+,12,20,1,1,1
5-19,11+,13,20,1,1,1
5-19,11+,14,20,1,1,1
5-19,11+,15,20,1,1,1
5-19,11+,16,20,1,1,1
5-19,11+,17,20,1,1,1
5-19,11+,18,20,1,1,1
5-19,11+,19,20,1,1,1
5-19,11+,11,21,1,1,1
5-19,11+,12,21,1,1,1
5-19,11+,13,21,1,1,1
5-19,11+,14,21,1,1,1
5-19,11+,15,21,1,1,1
5-19,11+,16,21,1,1,1
5-19,11+,17,21,1,1,1
5-19,11+,18,21,1,1,1
5-19,11+,19,21,1,1,1
5-19,11+,11,22,1,1,1
5-19,11+,12,22,1,1,1
5-19,11+,13,22,1,1,1
5-19,11+,14,22,1,1,1
5-19,11+,15,22,1,1,1
5-19,11+,16,22,1,1,1
5-19,11+,17,22,1,1,1
5-19,11+,18,22,1,1,1
5-19,11+,19,22,1,1,1
5-19,11+,11,23,1,1,1
5-19,11+,12,23,1,1,1
5-19,11+,13,23,1,1,1
5-19,11+,14,23,1,1,1
5-19,11+,15,23,1,1,1
5-19,11+,16,23,1,1,1
5-19,11+,17,23,1,1,1
5-19,11+,18,23,1,1,1
5-19,11+,19,23,1,1,1
5-19,11+,11,24,1,1,1
5-19,11+,12,24,1,1,1
5-19,11+,13,24,1,1,1
5-19,11+,14,24,1,1,1
5-19,11+,15,24,1,1,1
5-19,11+,16,24,1,1,1
5-19,11+,17,24,1,1,1
5-19,11+,18,24,1,1,1
5-19,11+,19,24,1,1,1
5-19,11+,11,25,1,1,1
5-19,11+,12,25,1,1,1
5-19,11+,13,25,1,1,1
5-19,11+,14,25,1,1,1
5-19,11+,15,25,1,1,1
5-19,11+,16,25,1,1,1
5-19,11+,17,25,1,1,1
5-19,11+,18,25,1,1,1
5-19,11+,19,25,1,1,1
5-19,11+,11,26,1,1,1
5-19,11+,12,26,1,1,1
5-19,11+,13,26,1,1,1
5-19,11+,14,26,1,1,1
5-19,11+,15,26,1,1,1
5-19,11+,16,26,1,1,1
5-19,11+,17,26,1,1,1
5-19,11+,18,26,1,1,1
5-19,11+,19,26,1,1,1
5-19,11+,11,27,1,1,1
5-19,11+,12,27,1,1,1
5-19,11+,13,27,1,1,1
5-19,11+,14,27,1,1,1
5-19,11+,15,27,1,1,1
5-19,11+,16,27,1,1,1
5-19,11+,17,27,1,1,1
5-19,11+,18,27,1,1,1
5-19,11+,19,27,1,1,1
5-19,11+,11,28,1,1,1
5-19,11+,12,28,1,1,1
5-19,11+,13,28,1,1,1
5-19,11+,14,28,1,1,1
5-19,11+,15,28,1,1,1
5-19,11+,16,28,1,1,1
5-19,11+,17,28,1,1,1
5-19,11+,18,28,1,1,1
5-19,11+,19,28,1,1,1
5-19,11+,11,29,1,1,1
5-19,11+,12,29,1,1,1
5-19,11+,13,29,1,1,1
5-19,11+,14,29,1,1,1
5-19,11+,15,29,1,1,1
5-19,11+,16,29,1,1,1
5-19,11+,17,29,1,1,1
5-19,11+,18,29,1,1,1
5-19,11+,19,29,1,1,1
5-19,11+,11,30,1,1,1
5-19,11+,12,30,1,1,1
5-19,11+,13,30,1,1,1
5-19,11+,14,30,1,1,1
5-19,11+,15,30,1,1,1
5-19,11+,16,30,1,1,1
5-19,11+,17,30,1,1,1
5-19,11+,18,30,1,1,1
5-19,11+,19,30,1,1,1
5-19,11+,11,31,1,1,1
5-19,11+,12,31,1,1,1
5-19,11+,13,31,1,1,1
5-19,11+,14,31,1,1,1
5-19,11+,15,31,1,1,1
5-19,11+,16,31,1,1,1
5-19,11+,17,31,1,1,1
5-19,11+,18,31,1,1,1
5-19,11+,19,31,1,1,1
5-19,11+,11,32,1,1,1
5-19,11+,12,32,1,1,1
5-19,11+,13,32,1,1,1
5-19,11+,14,32,1,1,1
5-19,11+,15,32,1,1,1
5-19,11+,16,32,1,1,1
5-19,11+,17,32,1,1,1
5-19,11+,18,32,1,1,1
5-19,11+,19,32,1,1,1
5-19,11+,11,33,1,1,1
5-19,11+,12,33,1,1,1
5-19,11+,13,33,1,1,1
5-19,11+,14,33,1,1,1
5-19,11+,15,33,1,1,1
5-19,11+,16,33,1,1,1
5-19,11+,17,33,1,1,1
5-19,11+,18,33,1,1,1
5-19,11+,19,33,1,1,1
5-19,11+,11,34,1,1,1
5-19,11+,12,34,1,1,1
5-19,11+,13,34,1,1,1
5-19,11+,14,34,1,1,1
5-19,11+,15,34,1,1,1
5-19,11+,16,34,1,1,1
5-19,11+,17,34,1,1,1
5-19,11+,18,34,1,1,1
5-19,11+,19,34,1,1,1
5-19,11+,11,35,1,1,1
5-19,11+,12,35,1,1,1
5-19,11+,13,35,1,1,1
5-19,11+,14,35,1,1,1
5-19,11+,15,35,1,1,1
5-19,11+,16,35,1,1,1
5-19,11+,17,35,1,1,1
5-19,11+,18,35,1,1,1
5-19,11+,19,35,1,1,1
5-19,11+,11,36,1,1,1
5-19,11+,12,36,1,1,1
5-19,11+,13,36,1,1,1
5-19,11+,14,36,1,1,1
5-19,11+,15,36,1,1,1
5-19,11+,16,36,1,1,1
5-19,11+,17,36,1,1,1
5-19,11+,18,36,1,1,1
5-19,11+,19,36,1,1,1
5-19,11+,11,37,1,1,1
5-19,11+,12,37,1,1,1
5-19,11+,13,37,1,1,1
5-19,11+,14,37,1,1,1
5-19,11+,15,37,1,1,1
5-19,11+,16,37,1,1,1
5-19,11+,17,37,1,1,1
5-19,11+,18,37,1,1,1
5-19,11+,19,37,1,1,1
5-19,11+,11,38,1,1,1
5-19,11+,12,38,1,1,1
5-19,11+,13,38,1,1,1
5-19,11+,14,38,1,1,1
5-19,11+,15,38,1,1,1
5-19,11+,16,38,1,1,1
5-19,11+,17,38,1,1,1
5-19,11+,18,38,1,1,1
5-19,11+,19,38,1,1,1
5-19,11+,11,39,1,1,1
5-19,11+,12,39,1,1,1
5-19,11+,13,39,1,1,1
5-19,11+,14,39,1,1,1
5-19,11+,15,39,1,1,1
5-19,11+,16,39,1,1,1
5-19,11+,17,39,1,1,1
5-19,11+,18,39,1,1,1
5-19,11+,19,39,1,1,1
5-19,11+,11,40,1,1,1
5-19,11+,12,40,1,1,1
5-19,11+,13,40,1,1,1
5-19,11+,14,40,1,1,1
5-19,11+,15,40,1,1,1
5-19,11+,16,40,1,1,1
5-19,11+,17,40,1,1,1
5-19,11+,18,40,1,1,1
5-19,11+,19,40,1,1,1
5-19,11+,11,41,1,1,1
5-19,11+,12,41,1,1,1
5-19,11+,13,41,1,1,1
5-19,11+,14,41,1,1,1
5-19,11+,15,41,1,1,1
5-19,11+,16,41,1,1,1
5-19,11+,17,41,1,1,1
5-19,11+,18,41,1,1,1
5-19,11+,19,41,1,1,1
5-19,11+,11,42,1,1,1
5-19,11+,12,42,1,1,1
5-19,11+,13,42,1,1,1
5-19,11+,14,42,1,1,1
5-19,11+,15,42,1,1,1
5-19,11+,16,42,1,1,1
5-19,11+,17,42,1,1,1
5-19,11+,18,42,1,1,1
5-19,11+,19,42,1,1,1
5-19,11+,11,43,1,1,1
5-19,11+,12,43,1,1,1
5-19,11+,13,43,1,1,1
5-19,11+,14,43,1,1,1
5-19,11+,15,43,1,1,1
5-19,11+,16,43,1,1,1
5-19,11+,17,43,1,1,1
5-19,11+,18,43,1,1,1
5-19,11+,19,43,1,1,1
5-19,11+,11,44,1,1,1
5-19,11+,12,44,1,1,1
5-19,11+,13,44,1,1,1
5-19,11+,14,44,1,1,1
5-19,11+,15,44,1,1,1
5-19,11+,16,44,1,1,1
5-19,11+,17,44,1,1,1
5-19,11+,18,44,1,1,1
5-19,11+,19,44,1,1,1
5-19,11+,11,45,1,1,1
5-19,11+,12,45,1,1,1
5-19,11+,13,45,1,1,1
5-19,11+,14,45,1,1,1
5-19,11+,15,45,1,1,1
5-19,11+,16,45,1,1,1
5-19,11+,17,45,1,1,1
5-19,11+,18,45,1,1,1
5-19,11+,19,45,1,1,1
5-19,11+,11,46,1,1,1
5-19,11+,12,46,1,1,1
5-19,11+,13,46,1,1,1
5-19,11+,14,46,1,1,1
5-19,11+,15,46,1,1,1
5-19,11+,16,46,1,1,1
5-19,11+,17,46,1,1,1
5-19,11+,18,46,1,1,1
5-19,11+,19,46,1,1,1
5-19,11+,11,47,1,1,1
5-19,11+,12,47,1,1,1
5-19,11+,13,47,1,1,1
5-19,11+,14,47,1,1,1
5-19,11+,15,47,1,1,1
5-19,11+,16,47,1,1,1
5-19,11+,17,47,1,1,1
5-19,11+,18,47,1,1,1
5-19,11+,19,47,1,1,1
5-19,11+,11,48,1,1,1
5-19,11+,12,48,1,1,1
5-19,11+,13,48,1,1,1
5-19,11+,14,48,1,1,1
5-19,11+,15,48,1,1,1
5-19,11+,16,48,1,1,1
5-19,11+,17,48,1,1,1
5-19,11+,18,48,1,1,1
5-19,11+,19,48,1,1,1
5-19,11+,11,49,1,1,1
5-19,11+,12,49,1,1,1
5-19,11+,13,49,1,1,1
5-19,11+,14,49,1,1,1
5-19,11+,15,49,1,1,1
5-19,11+,16,49,1,1,1
5-19,11+,17,49,1,1,1
5-19,11+,18,49,1,1,1
5-19,11+,19,49,1,1,1
5-19,11+,11,50,1,1,1
5-19,11+,12,50,1,1,1
5-19,11+,13,50,1,1,1
5-19,11+,14,50,1,1,1
5-19,11+,15,50,1,1,1
5-19,11+,16,50,1,1,1
5-19,11+,17,50,1,1,1
5-19,11+,18,50,1,1,1
5-19,11+,19,50,1,1,1
5-19,11+,11,51,1,1,1
5-19,11+,12,51,1,1,1
5-19,11+,13,51,1,1,1
5-19,11+,14,51,1,1,1
5-19,11+,15,51,1,1,1
5-19,11+,16,51,1,1,1
5-19,11+,17,51,1,1,1
5-19,11+,18,51,1,1,1
5-19,11+,19,51,1,1,1
5-19,11+,11,52,1,1,1
5-19,11+,12,52,1,1,1
5-19,11+,13,52,1,1,1
5-19,11+,14,52,1,1,1
5-19,11+,15,52,1,1,1
5-19,11+,16,52,1,1,1
5-19,11+,17,52,1,1,1
5-19,11+,18,52,1,1,1
5-19,11+,19,52,1,1,1
5-19,11+,11,53,1,1,1
5-19,11+,12,53,1,1,1
5-19,11+,13,53,1,1,1
5-19,11+,14,53,1,1,1
5-19,11+,15,53,1,1,1
5-19,11+,16,53,1,1,1
5-19,11+,17,53,1,1,1
5-19,11+,18,53,1,1,1
5-19,11+,19,53,1,1,1
5-19,11+,11,54,1,1,1
5-19,11+,12,54,1,1,1
5-19,11+,13,54,1,1,1
5-19,11+,14,54,1,1,1
5-19,11+,15,54,1,1,1
5-19,11+,16,54,1,1,1
5-19,11+,17,54,1,1,1
5-19,11+,18,54,1,1,1
5-19,11+,19,54,1,1,1
5-19,11+,11,55,1,1,1
5-19,11+,12,55,1,1,1
5-19,11+,13,55,1,1,1
5-19,11+,14,55,1,1,1
5-19,11+,15,55,1,1,1
5-19,11+,16,55,1,1,1
5-19,11+,17,55,1,1,1
5-19,11+,18,55,1,1,1
5-19,11+,19,55,1,1,1
5-19,11+,11,56,1,1,1
5-19,11+,12,56,1,1,1
5-19,11+,13,56,1,1,1
5-19,11+,14,56,1,1,1
5-19,11+,15,56,1,1,1
5-19,11+,16,56,1,1,1
5-19,11+,17,56,1,1,1
5-19,11+,18,56,1,1,1
5-19,11+,19,56,1,1,1
5-19,11+,11,57,1,1,1
5-19,11+,12,57,1,1,1
5-19,11+,13,57,1,1,1
5-19,11+,14,57,1,1,1
5-19,11+,15,57,1,1,1
5-19,11+,16,57,1,1,1
5-19,11+,17,57,1,1,1
5-19,11+,18,57,1,1,1
5-19,11+,19,57,1,1,1
5-19,11+,11,58,1,1,1
5-19,11+,12,58,1,1,1
5-19,11+,13,58,1,1,1
5-19,11+,14,58,1,1,1
5-19,11+,15,58,1,1,1
5-19,11+,16,58,1,1,1
5-19,11+,17,58,1,1,1
5-19,11+,18,58,1,1,1
5-19,11+,19,58,1,1,1
5-19,11+,11,59,1,1,1
5-19,11+,12,59,1,1,1
5-19,11+,13,59,1,1,1
5-19,11+,14,59,1,1,1
5-19,11+,15,59,1,1,1
5-19,11+,16,59,1,1,1
5-19,11+,17,59,1,1,1
5-19,11+,18,59,1,1,1
5-19,11+,19,59,1,1,1
5-19,11+,11,60,1,1,1
5-19,11+,12,60,1,1,1
5-19,11+,13,60,1,1,1
5-19,11+,14,60,1,1,1
5-19,11+,15,60,1,1,1
5-19,11+,16,60,1,1,1
5-19,11+,17,60,1,1,1
5-19,11+,18,60,1,1,1
5-19,11+,19,60,1,1,1
5-19,11+,11,61,1,1,1
5-19,11+,12,61,1,1,1
5-19,11+,13,61,1,1,1
5-19,11+,14,61,1,1,1
5-19,11+,15,61,1,1,1
5-19,11+,16,61,1,1,1
5-19,11+,17,61,1,1,1
5-19,11+,18,61,1,1,1
5-19,11+,19,61,1,1,1
5-19,11+,11,62,1,1,1
5-19,11+,12,62,1,1,1
5-19,11+,13,62,1,1,1
5-19,11+,14,62,1,1,1
5-19,11+,15,62,1,1,1
5-19,11+,16,62,1,1,1
5-19,11+,17,62,1,1,1
5-19,11+,18,62,1,1,1
5-19,11+,19,62,1,1,1
5-19,11+,11,63,1,1,1
5-19,11+,12,63,1,1,1
5-19,11+,13,63,1,1,1
5-19,11+,14,63,1,1,1
5-19,11+,15,63,1,1,1
5-19,11+,16,63,1,1,1
5-19,11+,17,63,1,1,1
5-19,11+,18,63,1,1,1
5-19,11+,19,63,1,1,1
5-19,11+,11,64,1,1,1
5-19,11+,12,64,1,1,1
5-19,11+,13,64,1,1,1
5-19,11+,14,64,1,1,1
5-19,11+,15,64,1,1,1
5-19,11+,16,64,1,1,1
5-19,11+,17,64,1,1,1
5-19,11+,18,64,1,1,1
5-19,11+,19,64,1,1,1
5-19,11+,11,65,1,1,1
5-19,11+,12,65,1,1,1
5-19,11+,13,65,1,1,1
5-19,11+,14,65,1,1,1
5-19,11+,15,65,1,1,1
5-19,11+,16,65,1,1,1
5-19,11+,17,65,1,1,1
5-19,11+,18,65,1,1,1
5-19,11+,19,65,1,1,1
5-19,11+,11,66,1,1,1
5-19,11+,12,66,1,1,1
5-19,11+,13,66,1,1,1
5-19,11+,14,66,1,1,1
5-19,11+,15,66,1,1,1
5-19,11+,16,66,1,1,1
5-19,11+,17,66,1,1,1
5-19,11+,18,66,1,1,1
5-19,11+,19,66,1,1,1
5-19,11+,11,67,1,1,1
5-19,11+,12,67,1,1,1
5-19,11+,13,67,1,1,1
5-19,11+,14,67,1,1,1
5-19,11+,15,67,1,1,1
5-19,11+,16,67,1,1,1
5-19,11+,17,67,1,1,1
5-19,11+,18,67,1,1,1
5-19,11+,19,67,1,1,1
5-19,11+,11,68,1,1,1
5-19,11+,12,68,1,1,1
5-19,11+,13,68,1,1,1
5-19,11+,14,68,1,1,1
5-19,11+,15,68,1,1,1
5-19,11+,16,68,1,1,1
5-19,11+,17,68,1,1,1
5-19,11+,18,68,1,1,1
5-19,11+,19,68,1,1,1
5-19,11+,11,69,1,1,1
5-19,11+,12,69,1,1,1
5-19,11+,13,69,1,1,1
5-19,11+,14,69,1,1,1
5-19,11+,15,69,1,1,1
5-19,11+,16,69,1,1,1
5-19,11+,17,69,1,1,1
5-19,11+,18,69,1,1,1
5-19,11+,19,69,1,1,1
5-19,11+,11,70,1,1,1
5-19,11+,12,70,1,1,1
5-19,11+,13,70,1,1,1
5-19,11+,14,70,1,1,1
5-19,11+,15,70,1,1,1
5-19,11+,16,70,1,1,1
5-19,11+,17,70,1,1,1
5-19,11+,18,70,1,1,1
5-19,11+,19,70,1,1,1
5-19,11+,11,71,1,1,1
5-19,11+,12,71,1,1,1
5-19,11+,13,71,1,1,1
5-19,11+,14,71,1,1,1
5-19,11+,15,71,1,1,1
5-19,11+,16,71,1,1,1
5-19,11+,17,71,1,1,1
5-19,11+,18,71,1,1,1
5-19,11+,19,71,1,1,1
5-19,11+,11,72,1,1,1
5-19,11+,12,72,1,1,1
5-19,11+,13,72,1,1,1
5-19,11+,14,72,1,1,1
5-19,11+,15,72,1,1,1
5-19,11+,16,72,1,1,1
5-19,11+,17,72,1,1,1
5-19,11+,18,72,1,1,1
5-19,11+,19,72,1,1,1
5-19,11+,11,73,1,1,1
5-19,11+,12,73,1,1,1
5-19,11+,13,73,1,1,1
5-19,11+,14,73,1,1,1
5-19,11+,15,73,1,1,1
5-19,11+,16,73,1,1,1
5-19,11+,17,73,1,1,1
5-19,11+,18,73,1,1,1
5-19,11+,19,73,1,1,1
5-19,11+,11,74,1,1,1
5-19,11+,12,74,1,1,1
5-19,11+,13,74,1,1,1
5-19,11+,14,74,1,1,1
5-19,11+,15,74,1,1,1
5-19,11+,16,74,1,1,1
5-19,11+,17,74,1,1,1
5-19,11+,18,74,1,1,1
5-19,11+,19,74,1,1,1
5-19,11+,11,75,1,1,1
5-19,11+,12,75,1,1,1
5-19,11+,13,75,1,1,1
5-19,11+,14,75,1,1,1
5-19,11+,15,75,1,1,1
5-19,11+,16,75,1,1,1
5-19,11+,17,75,1,1,1
5-19,11+,18,75,1,1,1
5-19,11+,19,75,1,1,1
5-19,11+,11,76,1,1,1
5-19,11+,12,76,1,1,1
5-19,11+,13,76,1,1,1
5-19,11+,14,76,1,1,1
5-19,11+,15,76,1,1,1
5-19,11+,16,76,1,1,1
5-19,11+,17,76,1,1,1
5-19,11+,18,76,1,1,1
5-19,11+,19,76,1,1,1
5-19,11+,11,77,1,1,1
5-19,11+,12,77,1,1,1
5-19,11+,13,77,1,1,1
5-19,11+,14,77,1,1,1
5-19,11+,15,77,1,1,1
5-19,11+,16,77,1,1,1
5-19,11+,17,77,1,1,1
5-19,11+,18,77,1,1,1
5-19,11+,19,77,1,1,1
5-19,11+,11,78,1,1,1
5-19,11+,12,78,1,1,1
5-19,11+,13,78,1,1,1
5-19,11+,14,78,1,1,1
5-19,11+,15,78,1,1,1
5-19,11+,16,78,1,1,1
5-19,11+,17,78,1,1,1
5-19,11+,18,78,1,1,1
5-19,11+,19,78,1,1,1
5-19,11+,11,79,1,1,1
5-19,11+,12,79,1,1,1
5-19,11+,13,79,1,1,1
5-19,11+,14,79,1,1,1
5-19,11+,15,79,1,1,1
5-19,11+,16,79,1,1,1
5-19,11+,17,79,1,1,1
5-19,11+,18,79,1,1,1
5-19,11+,19,79,1,1,1
5-19,11+,11,80,1,1,1
5-19,11+,12,80,1,1,1
5-19,11+,13,80,1,1,1
5-19,11+,14,80,1,1,1
5-19,11+,15,80,1,1,1
5-19,11+,16,80,1,1,1
5-19,11+,17,80,1,1,1
5-19,11+,18,80,1,1,1
5-19,11+,19,80,1,1,1
5-19,11+,11,81,1,1,1
5-19,11+,12,81,1,1,1
5-19,11+,13,81,1,1,1
5-19,11+,14,81,1,1,1
5-19,11+,15,81,1,1,1
5-19,11+,16,81,1,1,1
5-19,11+,17,81,1,1,1
5-19,11+,18,81,1,1,1
5-19,11+,19,81,1,1,1
5-19,11+,11,82,1,1,1
5-19,11+,12,82,1,1,1
5-19,11+,13,82,1,1,1
5-19,11+,14,82,1,1,1
5-19,11+,15,82,1,1,1
5-19,11+,16,82,1,1,1
5-19,11+,17,82,1,1,1
5-19,11+,18,82,1,1,1
5-19,11+,19,82,1,1,1
5-19,11+,11,83,1,1,1
5-19,11+,12,83,1,1,1
5-19,11+,13,83,1,1,1
5-19,11+,14,83,1,1,1
5-19,11+,15,83,1,1,1
5-19,11+,16,83,1,1,1
5-19,11+,17,83,1,1,1
5-19,11+,18,83,1,1,1
5-19,11+,19,83,1,1,1
5-19,11+,11,84,1,1,1
5-19,11+,12,84,1,1,1
5-19,11+,13,84,1,1,1
5-19,11+,14,84,1,1,1
5-19,11+,15,84,1,1,1
5-19,11+,16,84,1,1,1
5-19,11+,17,84,1,1,1
5-19,11+,18,84,1,1,1
5-19,11+,19,84,1,1,1
5-19,11+,11,85,1,1,1
5-19,11+,12,85,1,1,1
5-19,11+,13,85,1,1,1
5-19,11+,14,85,1,1,1
5-19,11+,15,85,1,1,1
5-19,11+,16,85,1,1,1
5-19,11+,17,85,1,1,1
5-19,11+,18,85,1,1,1
5-19,11+,19,85,1,1,1
5-19,11+,11,86,1,1,1
5-19,11+,12,86,1,1,1
5-19,11+,13,86,1,1,1
5-19,11+,14,86,1,1,1
5-19,11+,15,86,1,1,1
5-19,11+,16,86,1,1,1
5-19,11+,17,86,1,1,1
5-19,11+,18,86,1,1,1
5-19,11+,19,86,1,1,1
5-19,11+,11,87,1,1,1
5-19,11+,12,87,1,1,1
5-19,11+,13,87,1,1,1
5-19,11+,14,87,1,1,1
5-19,11+,15,87,1,1,1
5-19,11+,16,87,1,1,1
5-19,11+,17,87,1,1,1
5-19,11+,18,87,1,1,1
5-19,11+,19,87,1,1,1
5-19,11+,11,88,1,1,1
5-19,11+,12,88,1,1,1
5-19,11+,13,88,1,1,1
5-19,11+,14,88,1,1,1
5-19,11+,15,88,1,1,1
5-19,11+,16,88,1,1,1
5-19,11+,17,88,1,1,1
5-19,11+,18,88,1,1,1
5-19,11+,19,88,1,1,1
5-19,11+,11,89,1,1,1
5-19,11+,12,89,1,1,1
5-19,11+,13,89,1,1,1
5-19,11+,14,89,1,1,1
5-19,11+,15,89,1,1,1
5-19,11+,16,89,1,1,1
5-19,11+,17,89,1,1,1
5-19,11+,18,89,1,1,1
5-19,11+,19,89,1,1,1
5-19,11+,11,90,1,1,1
5-19,11+,12,90,1,1,1
5-19,11+,13,90,1,1,1
5-19,11+,14,90,1,1,1
