Question,Value,Interpretation
One-off additional setup cost before net saving is exhausted,"AUD 92,370",Arithmetic break-even only; not a willingness-to-pay threshold.
Equivalent annual running cost over two screening years,"AUD 46,867",Assumes equal payments in years 0 and 1 with 3% cost discounting.
