Measure,Numerator,Denominator,Result
Net health-system saving per person screened,"AUD 92,370 net saving",450.0,AUD 205 saving
Net health-system saving per TPT completion,"AUD 92,370 net saving",49.7,"AUD 1,858 saving"
Net health-system saving per active TB case averted,"AUD 92,370 net saving",12.0,"AUD 7,719 saving"
