file,comparison_type,exact_equal,numeric_equal,max_abs_difference,details
expanded_scenarios/LTBI_10pct__random__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__ltbi__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__prevent__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_1pct__random__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__ltbi__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__prevent__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_2pct__random__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__ltbi__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
