file,comparison_type,exact_equal,numeric_equal,max_abs_difference,details
expanded_scenarios/LTBI_3pct__prevent__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__prevent__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_3pct__random__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__ltbi__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__prevent__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_5pct__random__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__ltbi__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__prevent__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_0.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_100.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_1000.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_150.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_1500.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_200.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_300.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_450.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_50.json,json,True,True,0.0,json after timestamp/path scrub
expanded_scenarios/LTBI_7_53pct__random__n_screened_600.json,json,True,True,0.0,json after timestamp/path scrub
input_manifest.json,json,True,True,0.0,json after timestamp/path scrub
locked_chart_data_long.csv,csv,True,True,0.0,all compared values equal
locked_chart_data_workbook.xlsx,xlsx,False,True,0.0,all workbook cell values/formulas equal
locked_cure_audit.csv,csv,True,True,0.0,all compared values equal
locked_curve_data.csv,csv,True,True,0.0,all compared values equal
locked_example_cohort.csv,csv,True,True,0.0,all compared values equal
locked_expected_early_yield.csv,csv,True,True,0.0,all compared values equal
locked_prevalence_scenario_grid.csv,csv,True,True,0.0,all compared values equal
locked_rank_decile_summary.csv,csv,True,True,0.0,all compared values equal
locked_stopping_rule_candidates.csv,csv,True,True,0.0,all compared values equal
locked_targeting_order.csv,csv,True,True,0.0,all compared values equal
locked_tidy_long.csv,csv,True,True,0.0,all compared values equal
