prevalence_scenario,screeningStrategy,screen_count_requested,outcome,old_value,locked_run_value,source_file,absolute_difference,relative_difference,comparison_abs_tolerance,difference_class,pass_fail
base_default_LTBI,ltbi,50,nActiveBy20y_AfterStrategy_median,33.0,33.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nActiveBy20y_DoNothing_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nCuredInfection_median,10.0,10.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nFalsePositiveTestsBCG_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,50,nFalsePositiveTestsNoBCG_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,50,nFalsePositiveTests_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,50,nFalsePositiveTreated_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,50,nIGRApos_median,18.0,18.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nPreventedActiveTB_median,4.0,4.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nScreenedBCG_median,34.0,34.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nScreened_high95,50.0,50.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nScreened_low95,50.0,50.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nScreened_median,50.0,50.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nTestPositiveNonActive_median,18.0,18.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nTestPositive_median,23.0,23.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nTotalCoursesCompleted_median,12.0,12.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nTotalCoursesStarted_median,16.0,16.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nTruePositiveTests_median,18.0,18.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,nTruePositiveTreated_median,16.0,16.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,50,relativeReduction20y_median,0.1111111111111111,0.1111111111111111,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
